#{"t_start": 1769874964.780465, "env_id": "SocNavGym-v1"}
r,l,t
101.426893,24,504.35771
106.56604,76,504.881438
106.099017,149,505.799591
104.57582,92,506.418518
107.642267,100,507.131135
103.269527,103,507.821915
83.7224,162,508.886373
104.634917,59,509.320586
104.796929,77,509.870148
103.289597,73,510.369982
104.847587,57,510.793533
100.794702,10,510.917659
105.458722,68,511.396274
