#{"t_start": 1769877804.0415854, "env_id": "SocNavGym-v1"}
r,l,t
103.590346,73,655.802571
98.769321,58,656.309984
105.653664,91,657.125358
100.841288,27,657.386362
101.024596,42,657.796259
105.013408,172,659.322233
95.792107,101,660.224317
104.705693,102,661.175331
101.011526,56,661.710434
105.440019,143,663.026537
100.186397,4,663.104395
107.021795,99,664.062003
102.241998,56,664.593367
104.482969,70,665.284386
102.392503,48,665.764912
100.676405,23,666.013992
105.964368,83,666.824081
102.61822,95,667.724168
103.050193,96,668.650685
103.125157,35,669.010499
102.847737,102,669.953812
102.358339,38,670.336885
103.271714,57,670.883494
92.897687,133,672.175115
104.712303,74,672.878918
103.063352,41,673.301527
102.492599,49,673.793541
104.493372,66,674.43447
100.397396,98,675.345074
107.780487,149,676.727289
100.656996,34,677.073837
104.610069,83,677.857746
104.291956,49,678.346118
102.522239,88,679.148006
-26.116536,325,682.217328
105.263541,113,683.302905
103.64016,64,683.95653
77.757624,201,685.894614
99.319431,130,687.106419
81.21338,151,688.541659
102.597191,67,689.189871
-471.719582,600,694.553994
104.078383,70,695.203071
100.179868,10,695.329126
104.155634,57,695.877284
102.116161,28,696.177315
105.401385,79,696.916081
99.675727,87,697.70138
98.157403,93,698.593692
102.566431,33,698.932568
106.990047,92,699.798686
96.975661,291,702.553304
103.710407,49,706.138714
101.460805,64,706.826144
104.885677,104,708.013748
96.40075,81,708.742187
101.790699,25,709.003357
99.170748,198,710.756072
107.626293,106,711.748055
107.135952,85,712.549396
105.348751,125,713.685246
97.886998,135,714.894238
104.796388,52,715.414407
84.726665,192,717.206248
57.847323,148,718.648073
106.592168,135,719.900173
102.153652,65,720.513428
105.145836,68,721.17634
104.120253,90,722.020296
101.67813,54,722.534673
103.024812,85,723.327097
103.365858,81,724.108895
101.995439,50,724.593989
104.268604,51,725.10974
106.459096,95,726.038499
101.637442,21,726.274441
100.395804,6,726.370062
106.475086,95,727.248771
57.831449,207,729.246297
99.340429,74,729.964414
94.302434,160,731.400433
95.939311,148,732.81738
105.577966,96,733.741943
106.11784,81,734.535239
104.377712,157,735.950226
104.962908,82,736.75125
99.517698,201,738.687316
102.676645,48,739.18345
104.569327,61,739.772791
102.309369,90,740.661037
87.091117,147,742.003955
101.518733,20,742.66502
107.390994,105,743.685315
106.247709,86,744.540527
107.081799,118,745.642632
101.799075,29,745.949379
101.806698,229,747.961562
103.135185,117,749.184234
101.896402,29,749.554675
101.918353,134,751.122985
103.605131,48,751.602885
101.509224,206,753.569085
100.129734,9,753.697587
105.60933,102,754.652641
-535.806717,600,760.445752
105.608779,89,761.32639
89.821538,121,762.440727
101.82732,26,762.722612
-521.267478,600,768.297083
104.813495,76,769.019468
105.310593,69,769.676756
102.959934,154,771.105474
104.728908,117,772.220332
100.42343,135,773.497654
104.562674,59,774.082205
44.668148,246,776.424479
103.20002,38,776.827818
107.760119,97,777.782955
101.204833,59,778.339967
101.081042,21,778.57792
106.193311,79,779.343344
103.064916,81,780.131194
46.396004,211,782.082788
101.808777,28,782.400418
101.391027,28,782.688044
102.645767,191,784.379281
99.385977,106,785.32126
107.380946,146,786.567194
104.591318,94,787.401611
102.490181,32,787.724195
-63.791649,298,790.46353
92.223883,276,793.001855
106.542059,88,793.85803
-90.724151,399,797.961613
105.806785,82,798.771165
103.325861,104,799.763072
101.871421,51,800.285261
106.185094,88,801.159141
106.880411,90,802.026634
101.281221,24,802.287411
104.303307,88,803.13669
103.160051,41,803.549485
-531.096485,600,808.996216
102.178608,137,810.187011
102.525546,59,810.716701
100.867558,19,810.92481
104.470974,54,811.434366
-516.844992,600,817.131935
104.881748,140,818.333258
104.037972,154,819.903601
102.072728,147,821.415641
104.909732,71,822.237505
101.945911,129,823.504716
104.4687,73,824.251425
100.404635,19,824.47542
102.272522,28,824.767139
101.222558,21,825.014273
104.357227,51,825.537298
101.561248,19,825.757886
105.729171,148,827.107667
91.074022,212,829.139932
103.520652,66,829.746456
103.295295,141,831.000367
104.081182,142,832.222873
102.418429,71,832.863401
103.599764,71,833.503355
107.40525,82,834.242008
100.908977,33,834.564163
103.087938,232,836.511325
101.399835,80,837.252327
100.657352,49,837.687848
103.874111,52,838.15544
102.809777,35,838.501908
105.507882,73,839.198031
97.334096,91,840.142892
102.189987,233,842.406068
104.147887,98,843.354137
104.862541,59,843.930676
100.97437,41,844.338412
103.424336,68,844.979325
105.912311,121,846.081586
104.914877,144,847.396194
102.712304,34,847.750192
102.753428,178,849.366199
100.462923,11,849.505609
106.286502,196,851.288329
106.235606,181,852.908323
104.24387,60,853.512239
101.122553,19,853.727288
-73.931331,237,855.791349
21.997296,178,857.334595
105.543026,110,858.305634
107.57411,162,859.690812
100.691261,12,859.83315
106.513175,91,860.63494
100.445421,11,860.777599
105.008332,131,861.980756
109.488995,122,863.098968
98.25122,73,863.798633
101.321069,67,864.421322
100.952861,15,864.600403
102.115372,28,864.888194
105.082819,95,865.756157
48.365706,158,867.250927
102.112454,142,868.608555
102.143711,29,868.909814
104.075017,129,870.049227
102.034381,175,871.529322
100.528313,59,872.066668
101.198231,194,873.726103
102.056616,29,874.014095
107.762299,132,875.184295
101.904422,40,875.573391
-122.403649,343,878.512307
97.057055,181,880.132391
100.971981,56,880.635552
108.494396,89,881.417013
106.634709,125,882.512161
101.468083,41,882.90099
104.82897,61,883.460369
103.936118,106,884.35696
103.641498,46,884.822695
104.9253,78,885.566229
107.911038,221,887.469461
86.574042,439,891.358634
101.407471,26,891.624601
102.018205,55,892.117004
101.747389,25,892.378468
103.395541,36,892.738396
106.719662,387,896.002743
101.366697,38,896.373974
96.61666,153,897.709243
103.147978,39,898.076334
102.612465,81,898.784443
103.348399,70,899.384027
105.983581,144,900.620178
103.073823,129,901.720995
56.581227,339,904.843564
104.431285,263,907.183775
98.403526,173,908.943134
103.661562,252,911.158082
104.287338,74,911.842875
103.550174,58,912.4173
102.12057,81,913.156568
102.831812,120,914.271026
103.746291,45,914.697861
105.879236,71,915.402712
102.834255,172,916.960515
100.279791,60,917.51367
100.963233,12,917.655321
107.045581,149,918.945994
101.143862,96,919.786935
104.573922,59,920.331512
107.862129,207,922.097222
101.833066,28,922.387772
82.827726,169,923.897648
100.288686,18,924.084505
103.047322,41,924.48586
103.271351,85,925.226185
100.224029,6,925.312738
106.342584,116,926.355882
101.769228,108,927.279599
103.316452,43,927.674852
-44.194601,255,929.848866
104.228786,87,930.589825
106.711369,103,931.467983
102.168712,35,931.795115
100.299871,17,931.962275
99.648961,207,933.728
104.201606,76,934.397537
104.481277,60,934.973346
95.4792,240,937.060326
102.862899,39,937.444617
102.686769,91,938.276363
75.38002,120,939.340354
106.657616,81,940.095714
106.095227,142,941.383756
105.865969,72,942.060091
96.420249,106,943.016355
107.566276,95,943.936884
104.725626,109,944.91508
105.99503,156,946.331402
100.233229,117,947.38677
107.098435,89,948.156283
104.467936,74,948.817423
105.722399,180,950.301142
102.316064,33,950.613447
103.017249,58,951.131418
105.040822,73,951.764731
102.52474,94,952.550528
96.186229,95,953.341598
101.002305,15,953.504156
